Crash ID,Crash Date and Time,Hour of Day,Day of the week,Crash Type,Crash Severity,Property Damage Crash Indicator,Property Damage Indicator,Alcohol Involved,Aggressive Driver Involved,Bicycle Involved,Cell Phone Involved,Animal Involved,Animal Type,Drug Involved,Crash Location,Latitude,Longitude,YTD Indicator,ObjectID
3293163,9/26/2024 12:50:00 PM,8,5,Rear End,Possible Injury (C),No,No,No,Yes,No,No,No,,No,E FULTON ST  &  LAFAYETTE AVE AV ,42.9630750926838,-85.6617888681057,YTD,1
3293162,9/26/2024 2:45:00 PM,10,5,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, WEALTHY ST SW &  DIVISION AVE S,42.955976507795,-85.6678210857593,YTD,2
3293161,9/22/2024 7:00:00 PM,15,1,Sideswipe-Same,No Injury (O),Yes,No,No,No,No,No,No,,No, 28TH ST SE &  BROADMOOR AVE SE,0,0,YTD,3
3293160,9/25/2024 6:19:00 PM,14,4,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, FULLER AVE SE &  ADAMS ST SE,42.9369908495532,-85.6386160128063,YTD,4
3293159,9/24/2024 6:19:00 PM,14,3,Single Motor Vehicle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, S US 131   &  WEALTHY ST SW,42.956833278941,-85.6716152304835,YTD,5
3293158,9/24/2024 11:20:00 PM,19,3,Backing,No Injury (O),Yes,No,No,No,No,No,No,,No, LOUIS ST NW &  IONIA AVE NW,42.9637040929237,-85.6698926548007,YTD,6
3293157,8/31/2024 1:39:00 AM,21,6,Single Motor Vehicle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  OAKDALE ST SE,42.937339099297,-85.6488915844735,YTD,7
3293156,9/25/2024 6:24:00 PM,14,4,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, BRIDGE ST NW &  MOUNT VERNON AVE NW,42.9705714335125,-85.6789373641267,YTD,8
3293155,9/22/2024 10:17:00 AM,6,1,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, WATSON ST SW &  STRAIGHT AVE SW,42.9616955991664,-85.6874171272828,YTD,9
3293153,9/23/2024 9:30:00 PM,17,2,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEONARD ST NE &  LEFFINGWELL AVE NE,42.9843525637445,-85.600621832874,YTD,10
3293152,9/15/2024 10:05:00 PM,18,1,Sideswipe-Same,No Injury (O),Yes,Yes,No,Yes,No,No,No,,No, HASTINGS ST NE &  COLLEGE AVE NE,42.9723080636213,-85.6570482621798,YTD,11
3293151,9/15/2024 7:10:00 PM,15,1,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, SUTTON ST SW &  BUCHANAN AVE SW,42.9239791817669,-85.6713875327352,YTD,12
3293150,9/14/2024 2:00:00 PM,10,7,Sideswipe-Same,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EASTERN AVE SE &  LOGAN ST SE,42.9537524299781,-85.6492793065752,YTD,13
3293149,9/15/2024 5:00:00 PM,13,1,Other,No Injury (O),Yes,No,No,Yes,No,No,No,,No, EAST BELTLINE AVE SE &  BURTON ST SE,0,0,YTD,14
3293148,9/17/2024 11:55:00 AM,7,3,Single Motor Vehicle,Suspected Minor Injury (B),No,No,No,No,No,No,No,,No, BURKE AVE NE &  DIAMOND AVE NE,42.9906319182618,-85.6448088533619,YTD,15
3293147,9/21/2024 8:49:00 PM,16,7,Head On-Left Turn,No Injury (O),Yes,No,No,Yes,No,No,No,,No,S DIVISION AVE  &  QUIGLEY BLVD SW,42.928172902974,-85.6666783558351,YTD,16
3293146,9/22/2024 5:54:00 AM,1,1,Angle,Suspected Minor Injury (B),No,No,No,Yes,No,No,No,,No,N LAYAYETTE AVE  & E FULTON ST ,42.9631032537384,-85.6617498801893,YTD,17
3293145,9/22/2024 4:15:00 PM,12,1,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, LEXINGTON AVE SW & W FULTON ST ,42.9634374394219,-85.6837731217773,YTD,18
3293144,9/21/2024 8:32:00 PM,16,7,Angle,No Injury (O),Yes,No,No,Yes,No,No,No,,No, COTTAGE GROVE ST SE &  MADISON AVE SE,42.9355585360191,-85.6585629857584,YTD,19
3293143,9/25/2024 1:30:00 PM,9,4,Angle,Possible Injury (C),No,No,No,Yes,No,No,No,,No, LISTER CT NE &  PLAINFIELD AVE NE,42.9860490575669,-85.6667037721857,YTD,20
